qnumber,question,optionA,optionB,optionC,optionD,answer,explanation
1,What is the correct HTML tag for creating a hyperlink to an email address?,"<a href=""mailto:email@example.com"">","<a href=""email@example.com"">","<a mailto=""email@example.com"">","<a link=""email@example.com"">","<a href=""mailto:email@example.com"">","The correct syntax for creating a hyperlink to an email address is <a href=""mailto:email@example.com"">."
2,What is the correct HTML tag for creating a hyperlink?,<a>,<href>,<link>,<hyperlink>,<a>,The <a> tag is used to create a hyperlink in HTML.
3,Which HTML tag is used to define a hyperlink?,<a>,<link>,<href>,<hyperlink>,<a>,The <a> tag is used to define a hyperlink.
4,What is the correct HTML tag for creating a bold text?,<b>,<strong>,<bold>,<text>,<b>,The <b> tag is used to create bold text in HTML.
5,What is the correct HTML tag for creating a line break between paragraphs?,<br>,<break>,<lb>,<newline>,<br>,The <br> tag is used to create a line break between paragraphs in HTML.
6,What is the correct HTML tag for defining a line break?,<br>,<break>,<lb>,<newline>,<br>,The <br> tag is used to define a line break in HTML.
7,What is the correct HTML tag for creating a level 1 heading?,<h1>,<h2>,<heading1>,<level1>,<h1>,The <h1> tag is used to create a level 1 heading in HTML.
8,What is the correct HTML tag for defining a level 2 heading?,<h2>,<h1>,<heading2>,<level2>,<h2>,The <h2> tag is used to define a level 2 heading in HTML.
9,What is the correct HTML tag for creating a level 3 heading?,<h3>,<h2>,<heading3>,<level3>,<h3>,The <h3> tag is used to create a level 3 heading in HTML.
10,What is the correct HTML tag for creating a horizontal rule?,<hr>,<line>,<rule>,<divider>,<hr>,The <hr> tag is used to create a horizontal rule in HTML.
11,What is the correct HTML tag for creating an italicized text?,<i>,<italic>,<italicized>,<text>,<i>,The <i> tag is used to create italicized text in HTML.
12,What is the correct HTML tag for inserting an image?,<img>,<picture>,<image>,<src>,<img>,The <img> tag is used to insert an image in HTML.
13,What is the correct HTML tag for creating a numbered list?,<ol>,<ul>,<li>,<list>,<ol>,The <ol> tag is used to create a numbered list in HTML.
14,What is the correct HTML tag for creating a table?,<table>,<tab>,<tbl>,<t>,<table>,The <table> tag is used to create a table in HTML.
15,Which HTML attribute is used to define a table cell?,<td>,<cell>,<th>,<table-cell>,<td>,"The ""td"" attribute is used to define a table cell."
16,What is the correct HTML tag for creating an unordered list?,<ul>,<ol>,<li>,<list>,<ul>,The <ul> tag is used to create an unordered list in HTML.
17,Which HTML attribute is used to specify the text alignment?,align,text-align,alignment,text-alignment,align,"The ""align"" attribute is used to specify the text alignment."
18,Which HTML attribute is used to specify the alignment of a table cell?,align,cell-align,cell-position,table-align,align,"The ""align"" attribute is used to specify the alignment of a table cell."
19,Which HTML attribute is used to specify the alignment of an image?,align,image-align,image-position,position,align,"The ""align"" attribute is used to specify the alignment of an image."
20,Which HTML attribute is used to specify alternative text for an image?,alt,alternative,caption,description,alt,"The ""alt"" attribute is used to specify alternative text for an image."
21,Which HTML attribute is used to specify the background image?,background-image,image,bg-image,bg-picture,background-image,"The ""background-image"" attribute is used to specify the background image."
22,Which HTML attribute is used to specify the background color?,bgcolor,background-color,color,bg-color,bgcolor,"The ""bgcolor"" attribute is used to specify the background color."
23,Which HTML attribute is used to specify the border color?,border-color,color,border,line-color,border-color,"The ""border-color"" attribute is used to specify the border color."
24,Which HTML attribute is used to specify the text color?,color,text-color,text,font-color,color,"The ""color"" attribute is used to specify the text color."
25,Which HTML attribute is used to specify the font size?,font-size,text-size,size,fontsize,font-size,"The ""font-size"" attribute is used to specify the font size."
26,Which HTML attribute is used to specify the height of an image?,height,image-height,img-height,size,height,"The ""height"" attribute is used to specify the height of an image."
27,Which HTML attribute is used to specify whether an input field should be required?,required,mandatory,validate,validate-field,required,"The ""required"" attribute is used to specify whether an input field should be required."
28,Which HTML attribute is used to specify the source URL of an image?,src,source,url,link,src,"The ""src"" attribute is used to specify the source URL of an image."
29,Which HTML attribute is used to specify the width of a table cell?,width,cell-width,col-width,table-width,width,"The ""width"" attribute is used to specify the width of a table cell."
30,Which HTML attribute is used to specify the width of an image?,width,image-width,img-width,size,width,"The ""width"" attribute is used to specify the width of an image."
