qnumber,question,option1,option2,option3,option4,answer,explanation
1,"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?",Wind,Whistle,Cloud,Sound,A,"I come alive and can be heard through the wind, even though I don't have a physical form."
2,What has a face and two hands but no arms or legs?,Clock,Book,Chair,Dog,A,A clock has a face to display the time and two hands (hour and minute hands) but no arms or legs.
3,What has keys but can't open locks?,Piano,Car,Computer,Door,A,"A piano has keys that produce musical notes when played, but the keys can't open locks."
4,Why was the math book sad?,Because it had too many problems!,Because it couldn't solve its own equations!,Because it got stuck in a word problem!,Because it couldn't find its X!,A,Math books are often filled with various math problems and equations.
5,What has to be broken before you can use it?,An egg,A pencil,A window,A toy,A,An egg needs to be broken (cracked) in order to access and use the edible part inside.
6,Why did the scarecrow win an award?,Because he was outstanding in his field!,Because he scared away all the birds!,Because he looked the best in his outfit!,Because he had the best dance moves!,A,"A play on words, as the scarecrow is literally outstanding (standing) in the field and exceptional."
7,Why don't skeletons fight each other?,They don't have the guts!,They don't have the muscles!,They're too friendly with each other!,They're already dead!,A,Skeletons don't have internal organs like guts since they are made up of bones.
8,What kind of tree can you carry in your hand?,Palm tree,Oak tree,Pine tree,Maple tree,A,A palm tree is relatively small and can be carried or held in your hand.
9,Why did the bicycle fall over?,Because it was two-tired!,Because the brakes failed!,Because it hit a rock!,Because it was too heavy!,A,"A play on words, as ""two-tired"" sounds like ""too tired"" implying that the bicycle was exhausted and fell over."
10,What do you get when you cross a snowman and a vampire?,Frostbite!,Snow fangs!,Icy blood!,Count Snow-cula!,A,"Crossing a snowman (made of snow) with a vampire (known for biting) results in ""frostbite,"" a condition caused by exposure to extreme cold temperatures."
