qnumber,question,optionA,optionB,optionC,optionD,answer,explanation
1,What is the minimum required HTML tag for creating a simple HTML page?,<html>,<head>,<body>,<title>,<html>,The <html> tag is the minimum required HTML tag for creating a simple HTML page.
2,Which HTML tag is used to define the title of a web page?,<title>,<head>,<body>,<h1>,<title>,The <title> tag is used to define the title of a web page.
3,Where should the <script> tag be placed in an HTML document?,In the head section,In the body section,At the beginning of the document,At the end of the document,At the end of the document,"The <script> tag is typically placed at the end of the HTML document, just before the closing </body> tag."
4,Which HTML tag is used to define the main content of a web page?,<main>,<content>,<body>,<section>,<main>,The <main> tag is used to define the main content of a web page.
5,Which HTML attribute is used to set the background color of a web page?,bgcolor,background-color,color,bg-color,bgcolor,"The ""bgcolor"" attribute is used to set the background color of a web page."
6,What is the correct HTML tag for creating a heading?,<h1>,<heading>,<h>,<header>,<h1>,The <h1> tag is used to create a heading in HTML.
7,Which HTML tag is used to insert a line break?,<br>,<break>,<lb>,<newline>,<br>,The <br> tag is used to insert a line break in HTML.
8,Which HTML attribute is used to specify the text color?,color,text-color,text,font-color,color,"The ""color"" attribute is used to specify the text color."
9,What is the correct HTML tag for creating a paragraph?,<p>,<para>,<paragraph>,<text>,<p>,The <p> tag is used to create a paragraph in HTML.
10,Which HTML attribute is used to specify the font size?,font-size,text-size,size,fontsize,font-size,"The ""font-size"" attribute is used to specify the font size."
11,What is the correct HTML tag for creating a horizontal rule?,<hr>,<line>,<rule>,<divider>,<hr>,The <hr> tag is used to create a horizontal rule in HTML.
12,Which HTML attribute is used to specify the text alignment?,align,text-align,alignment,text-alignment,align,"The ""align"" attribute is used to specify the text alignment."
13,What is the correct HTML tag for creating a hyperlink?,<a>,<href>,<link>,<hyperlink>,<a>,The <a> tag is used to create a hyperlink in HTML.
14,Which HTML attribute is used to specify the image source?,src,source,image-src,url,src,"The ""src"" attribute is used to specify the image source."
15,What is the correct HTML tag for creating an unordered list?,<ul>,<ol>,<li>,<list>,<ul>,The <ul> tag is used to create an unordered list in HTML.
16,Which HTML attribute is used to specify the width of an image?,width,image-width,img-width,size,width,"The ""width"" attribute is used to specify the width of an image."
17,What is the correct HTML tag for creating a hyperlink to an email address?,"<a href=""mailto:email@example.com"">","<a href=""email@example.com"">","<a mailto=""email@example.com"">","<a link=""email@example.com"">","<a href=""mailto:email@example.com"">","The correct syntax for creating a hyperlink to an email address is <a href=""mailto:email@example.com"">."
18,Which HTML attribute is used to specify the height of an image?,height,image-height,img-height,size,height,"The ""height"" attribute is used to specify the height of an image."
19,What is the correct HTML tag for creating a numbered list?,<ol>,<ul>,<li>,<list>,<ol>,The <ol> tag is used to create a numbered list in HTML.
20,Which HTML attribute is used to specify the background image?,background-image,image,bg-image,bg-picture,background-image,"The ""background-image"" attribute is used to specify the background image."
21,What is the correct HTML tag for creating an italicized text?,<i>,<italic>,<italicized>,<text>,<i>,The <i> tag is used to create italicized text in HTML.
22,Which HTML attribute is used to specify the border color?,border-color,color,border,line-color,border-color,"The ""border-color"" attribute is used to specify the border color."
23,What is the correct HTML tag for creating a level 2 heading?,<h2>,<h1>,<heading2>,<level2>,<h2>,The <h2> tag is used to create a level 2 heading in HTML.
24,Which HTML attribute is used to specify the alignment of an image?,align,image-align,image-position,position,align,"The ""align"" attribute is used to specify the alignment of an image."
25,What is the correct HTML tag for creating a hyperlink that opens in a new window?,"<a target=""_blank"">",<a new-window>,"<a href=""_blank"">","<a href=""new-window"">","<a target=""_blank"">","The ""target"" attribute with the value ""_blank"" is used to open a hyperlink in a new window."
26,Which HTML attribute is used to specify the font style?,font-style,text-style,style,font,font-style,"The ""font-style"" attribute is used to specify the font style."
27,What is the correct HTML tag for creating a level 3 heading?,<h3>,<h2>,<heading3>,<level3>,<h3>,The <h3> tag is used to create a level 3 heading in HTML.
28,Which HTML attribute is used to specify whether an input field should be required?,required,mandatory,validate,validate-field,required,"The ""required"" attribute is used to specify whether an input field should be required."
29,What is the correct HTML tag for creating a division or section in a web page?,<div>,<section>,<box>,<container>,<div>,The <div> tag is used to create a division or section in a web page.
30,Which HTML attribute is used to specify the target URL of a hyperlink?,href,target,link,url,href,"The ""href"" attribute is used to specify the target URL of a hyperlink."
