qnumber,question,option1,option2,option3,option4,answer,explanation
1,What is 5 + 3?,7,8,9,10,B,When you add 5 and 3 together you get 8.
2,What is 10 - 4?,6,5,3,2,A,When you subtract 4 from 10 you get 6.
3,What is 2 multiplied by 3?,4,6,8,10,B,When you multiply 2 by 3 you get 6.
4,What is 15 divided by 5?,3,5,7,10,A,When you divide 15 by 5 you get 3.
5,What is the square root of 16?,2,4,6,8,B,The square root of 16 is 4 because 4 multiplied by itself equals 16.
6,What is 7 squared?,14,21,28,49,D,When you square 7 you multiply it by itself
7,What is 3 + 4 multiplied by 2?,10,14,16,18,D,When you multiply 4 by 2 and then add 3 you get 11.
8,What is 20 divided by 4 plus 2?,4,6,7,10,C,When you divide 20 by 4 and then add 2 you get 7.
9,What is the value of x in the equation 2x + 5 = 15?,4,5,6,7,B,To find the value of x subtract 5 from both sides of the equation
10,What is the perimeter of a square with side length 6 units?,12 units,18 units,24 units,36 units,C,The perimeter of a square is found by multiplying the side length by 4. In this case 6 multiplied by 4 equals 24 units.
