qnumber,question,optionA,optionB,optionC,optionD,answer,explanation
1,Which HTML tag is used to create an unordered list?,<ul>,<ol>,<li>,<list>,<ul>,The <ul> tag is used to create an unordered list in HTML.
2,Which HTML attribute is used to specify the type of list item in an ordered list?,type,item-type,list-type,ol-type,type,"The ""type"" attribute is used to specify the type of list item in an ordered list."
3,What is the correct HTML tag for creating a table?,<table>,<tab>,<tbl>,<t>,<table>,The <table> tag is used to create a table in HTML.
4,Which HTML attribute is used to specify the alignment of a table cell?,align,cell-align,cell-position,table-align,align,"The ""align"" attribute is used to specify the alignment of a table cell."
5,What is the correct HTML tag for creating a definition list?,<dl>,<ol>,<ul>,<list>,<dl>,The <dl> tag is used to create a definition list in HTML.
6,Which HTML attribute is used to specify the number of columns in a table?,cols,columns,table-cols,col-count,cols,"The ""cols"" attribute is used to specify the number of columns in a table."
7,What is the correct HTML tag for creating an ordered list?,<ol>,<ul>,<li>,<list>,<ol>,The <ol> tag is used to create an ordered list in HTML.
8,Which HTML attribute is used to specify the alignment of a list item?,align,item-align,item-position,list-align,align,"The ""align"" attribute is used to specify the alignment of a list item."
9,What is the correct HTML tag for creating a nested list?,<ul>,<ol>,<li>,<list>,<ul>,The <ul> or <ol> tag is used to create a nested list in HTML.
10,Which HTML attribute is used to specify the number of rows in a table?,rows,row-count,table-rows,tbl-rows,rows,"The ""rows"" attribute is used to specify the number of rows in a table."
11,What is the correct HTML tag for creating a list item?,<li>,<ul>,<ol>,<item>,<li>,The <li> tag is used to create a list item in HTML.
12,Which HTML attribute is used to specify the alignment of a table?,align,table-align,table-position,position,align,"The ""align"" attribute is used to specify the alignment of a table."
13,What is the correct HTML tag for creating a description list?,<dl>,<ol>,<ul>,<list>,<dl>,The <dl> tag is used to create a description list in HTML.
14,Which HTML attribute is used to specify the width of a table cell?,width,cell-width,col-width,table-width,width,"The ""width"" attribute is used to specify the width of a table cell."
15,What is the correct HTML tag for creating a sublist within a list item?,<ul>,<ol>,<li>,<sublist>,<ul>,The <ul> or <ol> tag is used to create a sublist within a list item.
16,Which HTML attribute is used to specify the alignment of a definition term?,align,term-align,term-position,dt-align,align,"The ""align"" attribute is used to specify the alignment of a definition term."
17,What is the correct HTML tag for creating a table caption?,<caption>,<header>,<caption-header>,<tbl-caption>,<caption>,The <caption> tag is used to create a table caption in HTML.
18,Which HTML attribute is used to specify the alignment of a sublist?,align,sublist-align,sublist-position,ul-align,align,"The ""align"" attribute is used to specify the alignment of a sublist."
19,What is the correct HTML tag for creating a table header?,<th>,<td>,<tr>,<thead>,<th>,The <th> tag is used to create a table header in HTML.
20,Which HTML attribute is used to specify the numbering style in an ordered list?,style,list-style,number-style,ol-style,style,"The ""style"" attribute is used to specify the numbering style in an ordered list."
21,What is the correct HTML tag for creating a sublist within a sublist?,<ul>,<ol>,<li>,<sublist>,<ul>,The <ul> or <ol> tag is used to create a sublist within a sublist.
22,Which HTML attribute is used to specify the alignment of a table header?,align,header-align,header-position,th-align,align,"The ""align"" attribute is used to specify the alignment of a table header."
23,What is the correct HTML tag for creating a table data cell?,<td>,<th>,<tr>,<td-cell>,<td>,The <td> tag is used to create a table data cell in HTML.
24,Which HTML attribute is used to specify the bullet style in an unordered list?,style,list-style,bullet-style,ul-style,style,"The ""style"" attribute is used to specify the bullet style in an unordered list."
25,What is the correct HTML tag for creating a sublist within a definition item?,<dl>,<dd>,<dt>,<sublist>,<dd>,The <dd> tag is used to create a sublist within a definition item.
26,Which HTML attribute is used to specify the alignment of a table footer?,align,footer-align,footer-position,tfoot-align,align,"The ""align"" attribute is used to specify the alignment of a table footer."
27,What is the correct HTML tag for creating a table row?,<tr>,<td>,<th>,<tab-row>,<tr>,The <tr> tag is used to create a table row in HTML.
28,Which HTML attribute is used to specify the indentation of a sublist?,indent,li-indent,sublist-indent,sublist-position,indent,"The ""style"" attribute is used to specify the indentation of a sublist."
29,What is the correct HTML tag for creating a sublist within a description item?,<dl>,<dt>,<dd>,<sublist>,<dd>,The <dd> tag is used to create a sublist within a description item.
30,Which HTML attribute is used to specify the alignment of a table caption?,align,caption-align,caption-position,caption-style,align,"The ""align"" attribute is used to specify the alignment of a table caption."
